obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""0.8574""","=""0.85839""","=""0.00004""","=""""","=""""",,"=""(1352.248484)""","=""[2796.62]""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""L2560c7""",
"=""0.85990""","=""0.85995""","=""0.00004""","=""""","=""""",,"=""(1343.83638)""","=""[2785.60]""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""L2560c7""",
"=""""","=""0.86699""","=""0.00004""","=""""","=""""",,"=""(1352.248484)""","=""[2782.30]""","=""1s.2p""","=""1P*""","=""1""","=""2s2""","=""1S""","=""0""",3,1,,"=""""","=""""",
"=""0.91689""","=""0.9168744""","=""0.0000007""","=""1000g""","=""1.96e+13""",A+,"=""0.0000""","=""(1352.248484)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5231c4,T5072""","=""L7418c8""",
"=""""","=""0.9228160""","=""0.0000007""","=""g""","=""""",,"=""0.0000""","=""(1343.541917)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""""","=""L2670""",
"=""0.92310""","=""0.9231203""","=""0.0000007""","=""50g""","=""""",,"=""0.0000""","=""(1343.098984)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""L7418c8""",
"=""0.9316""","=""0.9314332""","=""0.0000007""","=""g""","=""""",,"=""0.0000""","=""(1331.11204)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""""","=""L2670""",
"=""""","=""3.087921""","=""0.000011""","=""""","=""9.02e+09""",A,"=""(1343.83638)""","=""(1745.3499)""","=""1s.2s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""3.117885""","=""0.000011""","=""""","=""1.24e+10""",A,"=""(1343.83638)""","=""(1741.4912)""","=""1s.2s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""3.160758""","=""0.000011""","=""""","=""1.76e+10""",A,"=""(1343.83638)""","=""(1736.0973)""","=""1s.2s""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
