obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""55.111""","=""0.003""","=""""","=""1.13e-03""",D,"=""42.61188""","=""65.1089""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",3,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""55.118""","=""0.003""","=""""","=""5.60e-04""",D,"=""42.61188""","=""65.1062""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",3,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""55.118""","=""0.003""","=""""","=""1.94e-03""",D,"=""42.61188""","=""65.1062""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",3,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""55.128""","=""0.003""","=""""","=""4.53e-03""",D+,"=""42.61188""","=""65.1022""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""",3,7,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""56.1194""","=""0.0007""","=""""","=""2.33e+05""",D,"=""8.24445""","=""30.33740""","=""2s2.2p4""","=""1S""","=""0""","=""2s.2p5""","=""3P*""","=""1""",1,3,,"=""T7663c11,T6145""","=""""",
"=""""","=""""","=""56.179""","=""0.004""","=""""","=""7.28e+07""",D,"=""71.6359""","=""93.7054""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2P*).4d""","=""1D*""","=""2""",7,5,,"=""c56""","=""""",
"=""""","=""""","=""62.338""","=""0.005""","=""""","=""7.30e+07""",D,"=""73.9664""","=""93.8554""","=""2s2.2p3.(2D*).3p""","=""1D""","=""2""","=""2s2.2p3.(2P*).4d""","=""1F*""","=""3""",5,7,,"=""c56""","=""""",
"=""""","=""""","=""62.513""","=""0.006""","=""""","=""2.47e+07""",E,"=""70.9660""","=""90.7993""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""",3,3,,"=""c56,LS""","=""""",
"=""""","=""""","=""62.519""","=""0.006""","=""""","=""7.40e+07""",D,"=""70.9678""","=""90.7993""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""",5,3,,"=""c56,LS""","=""""",
"=""""","=""""","=""62.521""","=""0.006""","=""""","=""9.87e+05""",E,"=""70.9660""","=""90.7967""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",3,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""62.527""","=""0.006""","=""""","=""1.48e+07""",E,"=""70.9678""","=""90.7967""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",5,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""62.586""","=""0.006""","=""""","=""8.27e+07""",D,"=""70.9867""","=""90.7967""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",7,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""62.812""","=""0.006""","=""""","=""2.15e+08""",D+,"=""73.9664""","=""93.7054""","=""2s2.2p3.(2D*).3p""","=""1D""","=""2""","=""2s2.2p3.(2P*).4d""","=""1D*""","=""2""",5,5,,"=""c56""","=""""",
"=""""","=""""","=""63.146""","=""0.006""","=""""","=""2.46e+08""",D+,"=""70.9660""","=""90.6005""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""",3,3,,"=""c56,LS""","=""""",
"=""""","=""""","=""63.152""","=""0.006""","=""""","=""4.90e+07""",D,"=""70.9660""","=""90.5987""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""",3,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""63.152""","=""0.006""","=""""","=""8.17e+07""",D,"=""70.9678""","=""90.6005""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""",5,3,,"=""c56,LS""","=""""",
"=""""","=""""","=""63.158""","=""0.006""","=""""","=""2.27e+08""",D+,"=""70.9678""","=""90.5987""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""",5,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""63.168""","=""0.006""","=""""","=""3.64e+07""",D,"=""70.9678""","=""90.5955""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""",5,7,,"=""c56,LS""","=""""",
"=""""","=""""","=""63.218""","=""0.006""","=""""","=""5.07e+07""",D,"=""70.9867""","=""90.5987""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""",7,5,,"=""c56,LS""","=""""",
"=""""","=""""","=""63.229""","=""0.006""","=""""","=""2.89e+08""",C,"=""70.9867""","=""90.5955""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""",7,7,,"=""c56,LS""","=""""",
"=""""","=""""","=""64.047""","=""0.006""","=""""","=""1.21e+08""",D+,"=""71.6359""","=""90.9944""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*).4d""","=""1F*""","=""3""",7,7,,"=""c56""","=""""",
"=""""","=""""","=""64.527""","=""0.006""","=""""","=""4.33e+07""",E,"=""71.3861""","=""90.6005""","=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""",5,3,,"=""c56,LS""","=""""",
