obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""361.292""","=""""","=""690""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""361.413""","=""""","=""1100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""361.580""","=""""","=""1100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""367.232""","=""""","=""390""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""367.577""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""369.851""","=""""","=""390""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""369.922""","=""""","=""960""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""371.032""","=""""","=""720""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""373.232""","=""""","=""270""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""374.704""","=""""","=""560""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""375.267""","=""""","=""880""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.789""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""381.866""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""383.785""","=""""","=""1300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""384.411""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""391.705""","=""""","=""310""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""393.523""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""393.590""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""395.934""","=""""","=""940""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""399.226""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""400.010""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""403.082""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.675""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.981""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""405.147""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""415.037""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""415.741""","=""""","=""290""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""416.238""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.017""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.307""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""436.097""","=""""","=""290""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""438.101""","=""""","=""240""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""444.425""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""449.823""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""511.369""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""519.305""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""535.158""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""535.184""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""667.985""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""678.902""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
