obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""2897.67""","=""0.12""","=""""","=""5.6651e+05""",AAA,"=""[74.100710]""","=""[74.528585]""","=""1s.6p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""2898.00""","=""0.19""","=""""","=""6.2955e+04""",AAA,"=""[74.100710]""","=""[74.528537]""","=""1s.6p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""2786""","=""23""","=""""","=""9.4994e+05""",AAA,"=""[74.090435]""","=""[74.535]""","=""1s.6s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""3143""","=""5""","=""""","=""2.8507e+06""",AAA,"=""[74.1347]""","=""[74.529152]""","=""1s.6p""","=""1P*""","=""1""","=""1s.7d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""3147""","=""5""","=""""","=""3.566e+02""",AA,"=""[74.1347]""","=""[74.528585]""","=""1s.6p""","=""1P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""3081.08""","=""0.13""","=""""","=""5.622e+05""",AA,"=""[74.127061]""","=""[74.529466]""","=""1s.6d""","=""3D""","=""2""","=""1s.7f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""3081.71""","=""0.13""","=""""","=""7.458e+04""",AA,"=""[74.127143]""","=""[74.529466]""","=""1s.6d""","=""3D""","=""3""","=""1s.7f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""3081.8""","=""0.3""","=""""","=""3.4733e+06""",AAA,"=""[74.127013]""","=""[74.529324]""","=""1s.6d""","=""3D""","=""1""","=""1s.7f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""3082.17""","=""0.21""","=""""","=""6.4313e+05""",AAA,"=""[74.127061]""","=""[74.529324]""","=""1s.6d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""3082.17""","=""0.21""","=""""","=""3.1134e+06""",AAA,"=""[74.127061]""","=""[74.529324]""","=""1s.6d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""3082.79""","=""0.21""","=""""","=""1.8377e+04""",AAA,"=""[74.127143]""","=""[74.529324]""","=""1s.6d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""3082.79""","=""0.21""","=""""","=""3.8486e+05""",AAA,"=""[74.127143]""","=""[74.529324]""","=""1s.6d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""3082.79""","=""0.21""","=""""","=""4.1350e+06""",AAA,"=""[74.127143]""","=""[74.529324]""","=""1s.6d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""3087.34""","=""0.17""","=""""","=""3.5078e+06""",AAA,"=""[74.127877]""","=""[74.529466]""","=""1s.6d""","=""1D""","=""2""","=""1s.7f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""3088.43""","=""0.24""","=""""","=""9.329e+01""",AA,"=""[74.127877]""","=""[74.529324]""","=""1s.6d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""3088.43""","=""0.24""","=""""","=""6.388e+05""",AA,"=""[74.127877]""","=""[74.529324]""","=""1s.6d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""3092.54""","=""0.17""","=""""","=""7.071e+04""",AA,"=""[74.128238]""","=""[74.529152]""","=""1s.6f""","=""3F*""","=""3""","=""1s.7d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""3093.54""","=""0.17""","=""""","=""3.3719e+05""",AAA,"=""[74.128368]""","=""[74.529152]""","=""1s.6f""","=""1F*""","=""3""","=""1s.7d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""3096.28""","=""0.14""","=""""","=""9.3872e+02""",AAA,"=""[74.128238]""","=""[74.528667]""","=""1s.6f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""3096.28""","=""0.14""","=""""","=""2.6881e+04""",AAA,"=""[74.128238]""","=""[74.528667]""","=""1s.6f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""3096.28""","=""0.14""","=""""","=""3.8018e+05""",AAA,"=""[74.128238]""","=""[74.528667]""","=""1s.6f""","=""3F*""","=""4""","=""1s.7d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""3096.91""","=""0.14""","=""""","=""4.5990e+04""",AAA,"=""[74.128238]""","=""[74.528585]""","=""1s.6f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""3096.91""","=""0.14""","=""""","=""3.0452e+05""",AAA,"=""[74.128238]""","=""[74.528585]""","=""1s.6f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""3097.29""","=""0.14""","=""""","=""5.974e+03""",AA,"=""[74.128368]""","=""[74.528667]""","=""1s.6f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""3097.29""","=""0.21""","=""""","=""4.1398e+05""",AAA,"=""[74.128238]""","=""[74.528537]""","=""1s.6f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""3097.92""","=""0.14""","=""""","=""6.346e+04""",AA,"=""[74.128368]""","=""[74.528585]""","=""1s.6f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""3036""","=""28""","=""""","=""8.957e+01""",AA,"=""[74.127061]""","=""[74.535]""","=""1s.6d""","=""3D""","=""2""","=""1s.7p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""3040""","=""30""","=""""","=""7.1428e+05""",AAA,"=""[74.127877]""","=""[74.535]""","=""1s.6d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""3341""","=""6""","=""""","=""3.3705e+06""",AAA,"=""[74.1347]""","=""[74.50579]""","=""1s.6p""","=""1P*""","=""1""","=""1s.7s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""3353.96""","=""0.16""","=""""","=""4.6001e+05""",AAA,"=""[74.100580]""","=""[74.470245]""","=""1s.6p""","=""3P*""","=""0""","=""1s.7s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""3354.39""","=""0.16""","=""""","=""1.3801e+06""",AAA,"=""[74.100627]""","=""[74.470245]""","=""1s.6p""","=""3P*""","=""1""","=""1s.7s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""3355.14""","=""0.16""","=""""","=""2.3001e+06""",AAA,"=""[74.100710]""","=""[74.470245]""","=""1s.6p""","=""3P*""","=""2""","=""1s.7s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""3361.41""","=""0.20""","=""""","=""7.1274e+05""",AAA,"=""[69.279520]""","=""[69.648365]""","=""1s.3s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""3464.30""","=""0.22""","=""""","=""6.481e-02""",AA,"=""[60.922576]""","=""[61.280467]""","=""1s.2s""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""4006.83""","=""0.23""","=""""","=""2.6724e-03""",AAA,"=""[69.279520]""","=""[69.588952]""","=""1s.3s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""5248.3""","=""0.4""","=""""","=""5.6681e+05""",AAA,"=""[71.908412]""","=""[72.144648]""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""5250.3""","=""0.4""","=""""","=""5.6679e+05""",AAA,"=""[71.908412]""","=""[72.144559]""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""5251.4""","=""0.4""","=""""","=""5.6680e+05""",AAA,"=""[71.908412]""","=""[72.144509]""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""5639""","=""5""","=""""","=""2.854e+01""",AA,"=""[69.36910]""","=""[69.588952]""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""5643""","=""3""","=""""","=""1.043e+01""",AA,"=""[69.36923]""","=""[69.588952]""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""1D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""5734""","=""5""","=""""","=""4.5877e+04""",AAA,"=""[69.36910]""","=""[69.585317]""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""5738""","=""3""","=""""","=""3.0585e+03""",AAA,"=""[69.36923]""","=""[69.585317]""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
