obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""41.1801""","=""0.0024""","=""""","=""3.40e+08""",AA,"=""(899.4339)""","=""(929.5417)""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""41.180""","=""0.003""","=""""","=""3.80e+08""",AA,"=""(899.4385)""","=""(929.5461)""","=""1s.4d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""59.472""","=""0.004""","=""""","=""2.65e+09""",AA,"=""(897.9357)""","=""(918.7833)""","=""1s.4s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""59.493""","=""0.004""","=""""","=""2.65e+09""",AA,"=""(897.9357)""","=""(918.7758)""","=""1s.4s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""61.555""","=""0.006""","=""""","=""4.48e+09""",AA,"=""(898.9032)""","=""(919.0453)""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""61.593""","=""0.006""","=""""","=""5.97e+09""",AA,"=""(898.9180)""","=""(919.0475)""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""61.600""","=""0.006""","=""""","=""1.493e+09""",AA,"=""(898.9180)""","=""(919.0453)""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""63.044""","=""0.005""","=""""","=""7.38e+08""",AA,"=""(899.4700)""","=""(919.1364)""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""63.747""","=""0.005""","=""""","=""6.09e+09""",AA,"=""(899.6160)""","=""(919.0654)""","=""1s.4p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""64.077""","=""0.006""","=""""","=""1.356e+08""",AA,"=""(899.4339)""","=""(918.7833)""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""64.102""","=""0.006""","=""""","=""6.78e+08""",AA,"=""(899.4339)""","=""(918.7758)""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""64.092""","=""0.006""","=""""","=""7.59e+08""",AA,"=""(899.4385)""","=""(918.7833)""","=""1s.4d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""113.524""","=""0.010""","=""""","=""1.366e+09""",AA,"=""(918.7758)""","=""(929.6971)""","=""1s.5p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""113.592""","=""0.010""","=""""","=""1.822e+09""",AA,"=""(918.7833)""","=""(929.6982)""","=""1s.5p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""113.603""","=""0.010""","=""""","=""4.55e+08""",AA,"=""(918.7833)""","=""(929.6971)""","=""1s.5p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""116.049""","=""0.018""","=""""","=""3.83e+08""",AA,"=""(919.0654)""","=""(929.7491)""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""117.294""","=""0.013""","=""""","=""1.830e+09""",AA,"=""(919.1364)""","=""(929.7068)""","=""1s.5p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""118.096""","=""0.022""","=""""","=""3.77e+08""",AA,"=""(919.0475)""","=""(929.5461)""","=""1s.5d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""118.071""","=""0.021""","=""""","=""6.73e+07""",AA,"=""(919.0453)""","=""(929.5461)""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""118.120""","=""0.021""","=""""","=""3.37e+08""",AA,"=""(919.0453)""","=""(929.5417)""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""141.4424""","=""0.0005""","=""""","=""9.57e+07""",AA,"=""(722.82326)""","=""(731.588968)""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""143.3849""","=""0.0005""","=""""","=""9.19e+07""",AA,"=""(722.82326)""","=""(731.470216)""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""143.6964""","=""0.0005""","=""""","=""9.13e+07""",AA,"=""(722.82326)""","=""(731.451468)""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
"=""""","=""211.6173""","=""0.0010""","=""""","=""2.91e+07""",AA,"=""(731.86274)""","=""(737.7216251)""","=""1s.2s""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""525.2""","=""0.3""","=""""","=""9.46e+06""",AA,"=""(853.4184)""","=""(855.7791)""","=""1s.3s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""517.5""","=""0.3""","=""""","=""9.46e+06""",AA,"=""(853.4184)""","=""(855.8141)""","=""1s.3s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""728.7""","=""0.5""","=""""","=""4.11e+06""",AA,"=""(855.8093)""","=""(857.5108)""","=""1s.3s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""979.3""","=""0.7""","=""""","=""2.150e+06""",AA,"=""(855.8141)""","=""(857.0802)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""988.1""","=""0.7""","=""""","=""3.20e+05""",AA,"=""(855.8141)""","=""(857.0689)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""961.2""","=""0.7""","=""""","=""9.59e+05""",AA,"=""(855.7791)""","=""(857.0689)""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""1281.5""","=""1.7""","=""""","=""1.600e+06""",AA,"=""(897.9357)""","=""(898.9032)""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""1262.2""","=""1.6""","=""""","=""1.600e+06""",AA,"=""(897.9357)""","=""(898.9180)""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""2403""","=""8""","=""""","=""1.766e+05""",AA,"=""(898.9180)""","=""(899.4339)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""2382""","=""9""","=""""","=""7.07e+05""",AA,"=""(898.9180)""","=""(899.4385)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""2336""","=""8""","=""""","=""5.30e+05""",AA,"=""(898.9032)""","=""(899.4339)""","=""1s.4p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""4730""","=""30""","=""""","=""1.059e+05""",AA,"=""(918.7833)""","=""(919.0453)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""4690""","=""30""","=""""","=""4.24e+05""",AA,"=""(918.7833)""","=""(919.0475)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""4600""","=""30""","=""""","=""3.18e+05""",AA,"=""(918.7758)""","=""(919.0453)""","=""1s.5p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""8150""","=""50""","=""""","=""2.76e+05""",AA,"=""(929.5461)""","=""(929.6982)""","=""1s.6p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""8210""","=""50""","=""""","=""6.91e+04""",AA,"=""(929.5461)""","=""(929.6971)""","=""1s.6p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""7980""","=""50""","=""""","=""2.072e+05""",AA,"=""(929.5417)""","=""(929.6971)""","=""1s.6p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""8490""","=""90""","=""""","=""5.31e+04""",AA,"=""(899.4700)""","=""(899.6160)""","=""1s.4d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""17400""","=""400""","=""""","=""4.64e+04""",AA,"=""(919.0654)""","=""(919.1364)""","=""1s.5d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""29300""","=""800""","=""""","=""3.29e+04""",AA,"=""(929.7068)""","=""(929.7491)""","=""1s.6d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
