obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""26524.6""","=""""","=""1.43e-01""",E,"=""6.2226912""","=""6.2694342""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.3d""","=""3P*""","=""1""",5,3,,"=""T8363c22""","=""""",
"=""""","=""28184.8""","=""""","=""1.50e+03""",C+,"=""7.0692685""","=""7.1132583""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.4d""","=""3F*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""28252""","=""""","=""2.59e+03""",C,"=""7.739221""","=""7.783107""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.6d""","=""3D*""","=""2""",7,5,,"=""T6066LS'""","=""""",
"=""""","=""28412""","=""""","=""5.77e+04""",B,"=""7.907956""","=""7.951594""","=""3s2.3p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""","=""3s2.3p.8d""","=""3F*""","=""4""",11,9,,"=""T6066LS'""","=""""",
"=""""","=""30619.1""","=""""","=""2.33e+01""",E,"=""7.0287762""","=""7.0692685""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""31521""","=""""","=""6.40e+01""",D,"=""7.029935""","=""7.0692685""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3D""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""31959""","=""""","=""2.50e+04""",B+,"=""7.643299""","=""7.682093""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""3s2.3p.5d""","=""3P*""","=""0""",3,1,,"=""T6066LS'""","=""""",
"=""""","=""32211.4""","=""""","=""1.51e+00""",D,"=""6.2226912""","=""6.2611819""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.3d""","=""3P*""","=""2""",5,5,,"=""T8363c22""","=""""",
"=""""","=""34692""","=""""","=""4.92e+03""",B,"=""7.6433624""","=""7.679101""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""3s2.3p.5d""","=""3P*""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""34800.4""","=""""","=""1.76e+00""",E,"=""7.0287762""","=""7.0644034""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""1""",5,3,,"=""T6066LS""","=""""",
