obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""297.44""","=""297.44""","=""0.06""","=""*""","=""""",,"=""108.0294""","=""112.1978""","=""3d10.7i""","=""2I""","=""11/2""","=""3d10.8k""","=""2K*""","=""13/2""",12,14,,"=""""","=""L11307""",
"=""319.03""","=""319.04""","=""0.18""","=""*""","=""""",,"=""107.9992""","=""111.8853""","=""3d10.7g""","=""2G""","=""7/2""","=""3d10.8f""","=""2F*""","=""7/2""",8,8,,"=""""","=""L11307""",
"=""319.03""","=""319.04""","=""0.18""","=""*""","=""""",,"=""107.9992""","=""111.8853""","=""3d10.7g""","=""2G""","=""9/2""","=""3d10.8f""","=""2F*""","=""7/2""",10,8,,"=""""","=""L11307""",
"=""319.03""","=""319.01""","=""0.18""","=""*""","=""""",,"=""107.9992""","=""111.8857""","=""3d10.7g""","=""2G""","=""7/2""","=""3d10.8f""","=""2F*""","=""5/2""",8,6,,"=""""","=""L11307""",
"=""333.88""","=""333.86""","=""0.18""","=""""","=""""",,"=""85.8613""","=""89.5750""","=""3d10.6s""","=""2S""","=""1/2""","=""3d10.6p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L11307""",
"=""348.45""","=""348.44""","=""0.13""","=""*""","=""""",,"=""115.0504""","=""118.6086""","=""3d10.9k""","=""2K*""","=""13/2""","=""3d10.11l""","=""2L""","=""15/2""",14,16,,"=""""","=""L11307""",
"=""348.45""","=""348.44""","=""0.13""","=""*""","=""""",,"=""115.0504""","=""118.6086""","=""3d10.9k""","=""2K*""","=""15/2""","=""3d10.11l""","=""2L""","=""15/2""",16,16,,"=""""","=""L11307""",
"=""348.45""","=""348.44""","=""0.14""","=""*""","=""""",,"=""115.0504""","=""118.6086""","=""3d10.9k""","=""2K*""","=""15/2""","=""3d10.11l""","=""2L""","=""17/2""",16,18,,"=""""","=""L11307""",
"=""348.79""","=""348.78""","=""0.10""","=""*""","=""""",,"=""115.0550""","=""118.6097""","=""3d10.9l""","=""2L""","=""17/2""","=""3d10.11m""","=""2M*""","=""17/2""",18,18,,"=""""","=""L11307""",
"=""348.79""","=""348.78""","=""0.10""","=""*""","=""""",,"=""115.0550""","=""118.6097""","=""3d10.9l""","=""2L""","=""15/2""","=""3d10.11m""","=""2M*""","=""17/2""",16,18,,"=""""","=""L11307""",
"=""348.79""","=""348.78""","=""0.11""","=""*""","=""""",,"=""115.0550""","=""118.6097""","=""3d10.9l""","=""2L""","=""17/2""","=""3d10.11m""","=""2M*""","=""19/2""",18,20,,"=""""","=""L11307""",
"=""350.72""","=""350.72""","=""0.15""","=""""","=""""",,"=""107.5043""","=""111.0395""","=""3d10.8p""","=""2P*""","=""1/2""","=""3d10.9s""","=""2S""","=""1/2""",2,2,,"=""""","=""L11307""",
"=""356.06""","=""356.06""","=""0.12""","=""""","=""""",,"=""100.7342""","=""104.2163""","=""3d10.7p""","=""2P*""","=""1/2""","=""3d10.7d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11307""",
