obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""153.122""","=""0.001""","=""153.122+""","=""12""","=""""",,"=""16.70101""","=""24.79810""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.(2P*).4f""","=""1F""","=""3""",5,7,,"=""""","=""L7287""",
"=""153.366""","=""0.001""","=""153.366+""","=""4""","=""""",,"=""22.44167""","=""30.52590""","=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""3""",5,7,,"=""""","=""L7287""",
"=""154.361""","=""0.001""","=""154.356+""","=""6*""","=""""",,"=""22.69223""","=""30.72457""","=""5s2.5p.(2P*).5d""","=""3P*""","=""0""","=""5s2.5p.(2P*).6p""","=""3S""","=""1""",1,3,,"=""""","=""L7287""",
"=""154.361""","=""0.001""","=""154.361+""","=""6*""","=""""",,"=""21.03672""","=""29.06879""","=""5s.5p3""","=""1P*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""1""",3,3,,"=""""","=""L7287""",
"=""154.411""","=""0.001""","=""154.411+""","=""9""","=""""",,"=""23.03564""","=""31.06513""","=""5s2.5p.(2P*).5d""","=""1D*""","=""2""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",5,5,,"=""""","=""L7287""",
"=""155.784""","=""0.001""","=""155.784+""","=""6""","=""""",,"=""21.19976""","=""29.15847""","=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",5,5,,"=""""","=""L7287""",
"=""156.147""","=""0.001""","=""156.150+""","=""14""","=""""",,"=""22.58585""","=""30.52590""","=""5s2.5p.(2P*).5d""","=""3D*""","=""3""","=""5s2.5p.(2P*).6p""","=""3D""","=""3""",7,7,,"=""""","=""L7287""",
"=""156.696""","=""0.001""","=""156.698+""","=""7""","=""""",,"=""22.44167""","=""30.35397""","=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",5,5,,"=""""","=""L7287""",
"=""156.810""","=""0.001""","=""156.810+""","=""5""","=""""",,"=""3.52254""","=""11.42921""","=""5s2.5p2""","=""1D""","=""2""","=""5s.5p3""","=""5S*""","=""2""",5,5,,"=""""","=""L7287""",
"=""157.473""","=""0.001""","=""157.471+""","=""7""","=""""",,"=""18.07776""","=""25.95122""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""1""",5,3,,"=""""","=""L7287""",
