obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""248.7840""","=""0.0006""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""248.887""","=""0.0015""","=""248.88467""","=""0.00019""","=""5""","=""""",,"=""5.4176404""","=""10.399233""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4F).4p""","=""x 3G*""","=""4""",7,9,,"=""""","=""L562""",
"=""248.891""","=""0.0015""","=""248.89065""","=""0.00019""","=""40""","=""""",,"=""3.420542""","=""8.4020145""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 3F*""","=""2""",7,5,,"=""""","=""L562""",
"=""248.896""","=""0.0015""","=""248.89579""","=""0.00019""","=""10""","=""""",,"=""3.420645""","=""8.4020145""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d5.(4G).4p""","=""z 3F*""","=""2""",5,5,,"=""""","=""L562""",
"=""248.917""","=""0.0015""","=""248.9171""","=""0.0003""","=""10""","=""6.e+07""",D,"=""6.1113498""","=""11.092293""","=""3d6""","=""b 1F""","=""3""","=""3d5.(b 2F).4p""","=""x 1G*""","=""4""",7,9,,"=""c88""","=""L562""",
"=""248.9227""","=""0.0006""","=""248.92223""","=""0.00019""","=""50""","=""""",,"=""3.418399""","=""8.399240""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 3H*""","=""6""",11,13,,"=""""","=""L562""",
"=""248.9957""","=""0.0006""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""249.0978""","=""0.0006""","=""249.09895""","=""0.00025""","=""15""","=""""",,"=""6.1282130""","=""11.105520""","=""3d5.(2G).4s""","=""c 3G""","=""4""","=""3d5.(b 2F).4p""","=""t 3F*""","=""3""",9,7,,"=""""","=""L562""",
"=""249.1259""","=""0.0006""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""249.1661""","=""0.0006""","=""249.16601""","=""0.00025""","=""70""","=""2.7e+07""",D,"=""3.784458""","=""8.7604253""","=""3d6""","=""a 3H""","=""6""","=""3d5.(4D).4p""","=""y 5F*""","=""5""",13,11,,"=""c88""","=""L562""",
"=""249.189""","=""0.0015""","=""249.18911""","=""0.00019""","=""10""","=""""",,"=""6.1769182""","=""11.152425""","=""3d5.(4F).4s""","=""c 3F""","=""2""","=""3d5.(a 2G).4p""","=""x 1F*""","=""3""",5,7,,"=""""","=""L562""",
"=""249.2077""","=""0.0006""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""249.2397""","=""0.0015""","=""""","=""""","=""0""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""249.2872""","=""0.0006""","=""249.28808""","=""0.00025""","=""15""","=""""",,"=""9.1476927""","=""14.121224""","=""3d5.(4D).4p""","=""y 3F*""","=""3""","=""3d5.(6S).8s""","=""5S""","=""2""",7,5,,"=""""","=""L562""",
"=""249.3156""","=""0.0006""","=""249.3158""","=""0.0003""","=""10""","=""""",,"=""9.1482460""","=""14.121224""","=""3d5.(4D).4p""","=""y 3F*""","=""2""","=""3d5.(6S).8s""","=""5S""","=""2""",5,5,,"=""""","=""L562""",
"=""249.333""","=""0.0015""","=""249.33359""","=""0.00025""","=""0""","=""""",,"=""6.1328970""","=""11.105520""","=""3d5.(2G).4s""","=""c 3G""","=""3""","=""3d5.(b 2F).4p""","=""t 3F*""","=""3""",7,7,,"=""""","=""L562""",
"=""249.3468""","=""0.0006""","=""249.34641""","=""0.00019""","=""40""","=""""",,"=""4.9356240""","=""9.907991""","=""3d5.(4D).4s""","=""b 3D""","=""3""","=""3d5.(a 2D).4p""","=""x 3F*""","=""4""",7,9,,"=""""","=""L562""",
"=""249.4468""","=""0.0006""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""249.479""","=""0.0015""","=""249.47928""","=""0.00019""","=""10""","=""""",,"=""5.4367494""","=""10.406469""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(4F).4p""","=""x 3G*""","=""3""",5,7,,"=""""","=""L562""",
"=""249.5290""","=""0.0006""","=""249.52970""","=""0.00019""","=""20""","=""""",,"=""5.108692""","=""10.0774071""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d5.(a 2F).4p""","=""z 1G*""","=""4""",11,9,,"=""""","=""L562""",
"=""249.623""","=""0.0015""","=""249.62280""","=""0.00019""","=""5""","=""""",,"=""6.1855626""","=""11.152425""","=""3d5.(4F).4s""","=""c 3F""","=""3""","=""3d5.(a 2G).4p""","=""x 1F*""","=""3""",7,7,,"=""""","=""L562""",
