Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p4.(3P<2>).8i""","=""2[4]""","=""9/2""",10,"=""""","=""26.7794127""","=""""","=""0.0000015""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[9]*""","=""17/2""",18,"=""""","=""26.7794755""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[9]*""","=""19/2""",20,"=""""","=""26.7794772""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[5]*""","=""9/2""",10,"=""""","=""26.7795606""","=""""","=""0.0000009""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[5]*""","=""11/2""",12,"=""""","=""26.7795623""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(1D).5d""","=""2S""","=""1/2""",2,"=""""","=""26.889960""","=""""","=""0.000010""","=""L15349"""
"=""3s2.3p4.(3P<1>).8i""","=""2[7]""","=""13/2""",14,"=""""","=""26.9166429""","=""""","=""0.0000012""","=""L15349"""
"=""3s2.3p4.(3P<1>).8i""","=""2[7]""","=""15/2""",16,"=""""","=""26.9166441""","=""""","=""0.0000012""","=""L15349"""
"=""3s2.3p4.(3P<1>).8i""","=""2[5]""","=""9/2""",10,"=""""","=""26.9166673""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p4.(3P<1>).8i""","=""2[5]""","=""11/2""",12,"=""""","=""26.9166673""","=""""","=""0.0000012""","=""L15349"""
"=""3s2.3p4.(3P<1>).8k""","=""2[6]*""","=""11/2""",12,"=""""","=""26.9170312""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<1>).8k""","=""2[6]*""","=""13/2""",14,"=""""","=""26.9170326""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<1>).8k""","=""2[8]*""","=""15/2""",16,"=""""","=""26.9170782""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<1>).8k""","=""2[8]*""","=""17/2""",18,"=""""","=""26.9170802""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<1>).8i""","=""2[6]""","=""11/2""",12,"=""""","=""26.9172077""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<1>).8i""","=""2[6]""","=""13/2""",14,"=""""","=""26.9172077""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<1>).8k""","=""2[7]*""","=""15/2""",16,"=""""","=""26.9174374""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<1>).8k""","=""2[7]*""","=""13/2""",14,"=""""","=""26.9174388""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<0>).8i""","=""2[6]""","=""11/2""",12,"=""""","=""26.9736918""","=""""","=""0.0000010""","=""L15349"""
"=""3s2.3p4.(3P<0>).8i""","=""2[6]""","=""13/2""",14,"=""""","=""26.9736929""","=""""","=""0.0000009""","=""L15349"""
"=""3s2.3p4.(3P<0>).8k""","=""2[7]*""","=""15/2""",16,"=""""","=""26.9739785""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<0>).8k""","=""2[7]*""","=""13/2""",14,"=""""","=""26.9739799""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(1D<2>).5f""","=""2[5]*""","=""9/2""",10,"=""""","=""27.14521116""","=""""","=""0.00000009""","=""L15349"""
"=""3s2.3p4.(1D<2>).5f""","=""2[5]*""","=""11/2""",12,"=""""","=""27.145213""","=""""","=""0.000016""","=""L15349"""
"=""3s2.3p4.(1D<2>).5f""","=""2[2]*""","=""5/2""",6,"=""""","=""27.152775""","=""""","=""0.000014""","=""L15349"""
"=""3s2.3p4.(1D<2>).5f""","=""2[2]*""","=""3/2""",4,"=""""","=""27.153006""","=""""","=""0.000004""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[2]""","=""5/2""",6,"=""""","=""27.1714508""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(1D<2>).5f""","=""2[3]*""","=""7/2""",8,"=""""","=""27.172460""","=""""","=""0.000004""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[6]""","=""13/2""",14,"=""""","=""27.1777815""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[6]""","=""11/2""",12,"=""""","=""27.1777820""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[3]""","=""7/2""",8,"=""""","=""27.1831194""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[3]""","=""5/2""",6,"=""""","=""27.1831375""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""27.19190872""","=""""","=""0.00000021""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""27.19191042""","=""""","=""0.00000022""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[5]""","=""9/2""",10,"=""""","=""27.19247975""","=""""","=""0.00000017""","=""L15349"""
"=""3s2.3p4.(1D<2>).5g""","=""2[5]""","=""11/2""",12,"=""""","=""27.1924834""","=""""","=""0.0000004""","=""L15349"""
"=""Ar III (3p4 3P<2>)""","=""Limit""","=""---""",,"=""""","=""27.62967""","=""""","=""0.00012""","=""L8844"""
"=""3s2.3p4.(1D<2>).6g""","=""2[6]""","=""13/2""",14,"=""""","=""27.8476503""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(1D<2>).6g""","=""2[6]""","=""11/2""",12,"=""""","=""27.8476507""","=""""","=""0.0000025""","=""L15349"""
