obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""390.0+""","=""""","=""1.26e+01""",C+,"=""258.812""","=""261.991""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,2,M1,"=""T7370c84""","=""""",
"=""""","=""453+""","=""""","=""2.68e+00""",C+,"=""260.173""","=""262.908""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""483+""","=""""","=""5.95e-01""",C,"=""259.425""","=""261.991""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""899.0+""","=""""","=""2.47e+01""",B+,"=""122.8992""","=""124.2783""","=""2p5""","=""2P*""","=""3/2""","=""2p5""","=""2P*""","=""1/2""",4,2,M1,"=""T7010""","=""""",
"=""""","=""1141+""","=""""","=""1.17e+01""",A,"=""78.9653""","=""80.052""","=""2s.2p4""","=""2P""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""1350+""","=""""","=""3.60e+00""",B+,"=""261.991""","=""262.908""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""1448+""","=""""","=""7.98e+00""",A,"=""46.9228""","=""47.7788""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p4""","=""4P""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""1660+""","=""""","=""3.51e+00""",B+,"=""259.425""","=""260.173""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",4,6,M1,"=""T7370c84""","=""""",
"=""""","=""2020+""","=""""","=""2.68e+00""",B+,"=""258.812""","=""259.425""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""2840+""","=""""","=""1.96e+00""",A,"=""47.7788""","=""48.2153""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""4P""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""5467""","=""""","=""5.28e-02""",A,"=""15.7429""","=""15.9697""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p3""","=""2P*""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""8676""","=""""","=""1.59e-02""",A,"=""10.22154""","=""10.36445""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",4,6,M1,"=""T7370c84""","=""""",
