Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""11/2""",12,"=""""","=""32.970522""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""9/2""",10,"=""""","=""32.971156""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""3/2""",4,"=""""","=""32.974511""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",6,"=""""","=""32.975276""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[2]""","=""5/2""",6,"=""""","=""32.977331""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[2]""","=""3/2""",4,"=""""","=""32.977331""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",8,"=""""","=""32.978843""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",6,"=""""","=""32.978851""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[6]""","=""11/2""",12,"=""""","=""32.978843""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[6]""","=""13/2""",14,"=""""","=""32.978847""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""9/2""",10,"=""""","=""32.979766""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",8,"=""""","=""32.980404""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[3]""","=""5/2""",6,"=""""","=""32.980739""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[3]""","=""7/2""",8,"=""""","=""32.980754""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""32.982636""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""32.982636""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[5]""","=""11/2""",12,"=""""","=""32.982792""","=""""","=""""","="""""
"=""2s2.2p2.(3P<2>).5g""","=""2[5]""","=""9/2""",10,"=""""","=""32.982792""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4p""","=""2F*""","=""5/2""",6,"=""""","=""33.051674""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4p""","=""2F*""","=""7/2""",8,"=""""","=""33.052740""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4p""","=""2D*""","=""3/2""",4,"=""""","=""33.057203""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4p""","=""2D*""","=""5/2""",6,"=""""","=""33.059219""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6s""","=""4P""","=""1/2""",2,"=""""","=""33.06634""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6s""","=""4P""","=""3/2""",4,"=""""","=""33.07923""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6s""","=""4P""","=""5/2""",6,"=""""","=""33.100214""","=""""","=""""","="""""
"=""2s2.2p2.(3P).6s""","=""2P""","=""1/2""",2,"=""""","=""33.11632""","=""?""","=""""","="""""
"=""2s2.2p2.(3P).6s""","=""2P""","=""3/2""",4,"=""""","=""33.140757""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4p""","=""2P*""","=""1/2""",2,"=""""","=""33.160848""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4p""","=""2P*""","=""3/2""",4,"=""""","=""33.164631""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3p""","=""6P""","=""3/2""",4,"=""""","=""33.199026""","=""+x""","=""""","="""""
