obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""15.8186""","=""0.0003""","=""""","=""2.333e+10""",AA,"=""(1073.3429)""","=""(1151.7216)""","=""1s.3d""","=""1D""","=""2""","=""1s.5f""","=""1F*""","=""3""",5,7,,"=""T7543""","=""""",
"=""""","=""15.86622""","=""0.00021""","=""""","=""1.171e+07""",AA,"=""(1073.2542)""","=""(1151.3976)""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""15.86929""","=""0.00021""","=""""","=""1.170e+09""",AA,"=""(1073.2542)""","=""(1151.3825)""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
"=""""","=""15.86680""","=""0.00021""","=""""","=""1.755e+08""",AA,"=""(1073.2570)""","=""(1151.3976)""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""15.86872""","=""0.00021""","=""""","=""2.93e+08""",AA,"=""(1073.2542)""","=""(1151.3854)""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""15.87068""","=""0.00021""","=""""","=""9.83e+08""",AA,"=""(1073.2761)""","=""(1151.3976)""","=""1s.3d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",7,5,,"=""T7543LS""","=""""",
"=""""","=""15.86929""","=""0.00021""","=""""","=""8.77e+08""",AA,"=""(1073.2570)""","=""(1151.3854)""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""15.80306""","=""0.00021""","=""""","=""9.01e+08""",AA,"=""(1073.3429)""","=""(1151.7987)""","=""1s.3d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T7543""","=""""",
"=""""","=""15.9711""","=""0.0003""","=""""","=""7.10e+09""",AA,"=""(1073.7544)""","=""(1151.3845)""","=""1s.3p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",3,1,,"=""T7543""","=""""",
"=""""","=""21.6809""","=""0.0006""","=""""","=""1.881e+10""",AA,"=""(1069.1011)""","=""(1126.2870)""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""21.6900""","=""0.0006""","=""""","=""1.879e+10""",AA,"=""(1069.1011)""","=""(1126.2629)""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""21.6921""","=""0.0006""","=""""","=""1.878e+10""",AA,"=""(1069.1011)""","=""(1126.2575)""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
"=""""","=""22.4937""","=""0.0009""","=""""","=""2.53e+10""",AA,"=""(1071.7548)""","=""(1126.8743)""","=""1s.3p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T7543LS""","=""""",
"=""""","=""22.4981""","=""0.0008""","=""""","=""3.41e+10""",AA,"=""(1071.7672)""","=""(1126.8759)""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T7543LS""","=""""",
