obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""105.157""","=""105.154""","=""80bl""","=""6.28e+08""",B+,"=""170.0795""","=""181.8703""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3S""","=""1""",5,3,,"=""T7663c84""","=""L5875""",
"=""""","=""108.823+""","=""""","=""2.09e+07""",C+,"=""192.5111""","=""203.9043""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.3d""","=""3D*""","=""1""",1,3,,"=""T7663c84""","=""""",
"=""110.270""","=""110.283""","=""""","=""1.80e+08""",B+,"=""170.6279""","=""181.8703""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3S""","=""1""",3,3,,"=""T7663c84""","=""L4294""",
"=""""","=""116.518+""","=""""","=""3.51e+00""",C,"=""181.8703""","=""192.5111""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""1S""","=""0""",3,1,M1,"=""T7663c84""","=""""",
"=""""","=""117.539+""","=""""","=""4.20e+07""",B+,"=""171.3220""","=""181.8703""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3S""","=""1""",1,3,,"=""T7663c84""","=""""",
"=""""","=""127.317+""","=""""","=""1.16e+07""",B,"=""172.1321""","=""181.8703""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3S""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""""","=""138.76+""","=""""","=""1.09e+05""",D,"=""192.5111""","=""201.4462""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.3d""","=""3P*""","=""1""",1,3,,"=""T7663c84""","=""""",
"=""""","=""154.59+""","=""""","=""8.53e+00""",C+,"=""184.4908""","=""192.5111""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3p""","=""1S""","=""0""",3,1,M1,"=""T7663c84""","=""""",
"=""""","=""175.88+""","=""""","=""9.46e+00""",C+,"=""185.4616""","=""192.5111""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.3p""","=""1S""","=""0""",3,1,M1,"=""T7663c84""","=""""",
"=""""","=""190.76+""","=""""","=""2.93e+01""",C+,"=""186.0118""","=""192.5111""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.3p""","=""1S""","=""0""",3,1,M1,"=""T7663c84""","=""""",
"=""""","=""299.37+""","=""""","=""1.65e+01""",B,"=""181.8703""","=""186.0118""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",3,3,M1,"=""T7663c84""","=""""",
"=""""","=""310.70+""","=""""","=""2.98e+00""",B,"=""181.8703""","=""185.8607""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",3,5,M1,"=""T7663c84""","=""""",
"=""""","=""314.98+""","=""""","=""3.26e+01""",B,"=""181.8703""","=""185.8066""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""3P""","=""0""",3,1,M1,"=""T7663c84""","=""""",
"=""""","=""345.23+""","=""""","=""8.40e-01""",C+,"=""181.8703""","=""185.4616""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""1P""","=""1""",3,3,M1,"=""T7663c84""","=""""",
"=""""","=""390.43+""","=""""","=""2.49e+00""",B,"=""181.8703""","=""185.0459""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""3P""","=""2""",3,5,M1,"=""T7663c84""","=""""",
"=""""","=""570.0+""","=""""","=""1.09e-01""",C+,"=""181.8703""","=""184.0456""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,M1,"=""T7663c84""","=""""",
"=""""","=""604.0+""","=""""","=""1.85e+01""",B+,"=""170.0795""","=""172.1321""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3s""","=""1P*""","=""1""",5,3,M1,"=""T7663c84""","=""""",
"=""""","=""628.8+""","=""""","=""1.96e+01""",B+,"=""183.8890""","=""185.8607""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.3p""","=""1D""","=""2""",7,5,M1,"=""T7663c84""","=""""",
"=""""","=""630.6+""","=""""","=""7.09e-01""",B,"=""184.0456""","=""186.0118""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.3p""","=""3P""","=""1""",5,3,M1,"=""T7663c84""","=""""",
"=""""","=""815.2+""","=""""","=""2.98e+00""",B+,"=""184.4908""","=""186.0118""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",3,3,M1,"=""T7663c84""","=""""",
"=""""","=""824.3+""","=""""","=""3.58e+00""",B+,"=""170.6279""","=""172.1321""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3s""","=""1P*""","=""1""",3,3,M1,"=""T7663c84""","=""""",
"=""""","=""875.6+""","=""""","=""9.44e+00""",B+,"=""184.0456""","=""185.4616""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.3p""","=""1P""","=""1""",5,3,M1,"=""T7663c84""","=""""",
"=""""","=""905.1+""","=""""","=""1.61e+00""",B+,"=""184.4908""","=""185.8607""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",3,5,M1,"=""T7663c84""","=""""",
